,ISO_country,country_name,Year,WB_income_region,sample_size,severe_wasting,wasting,overweight,stunting,underweight,notes,author,source,under_5_pop
0,AFG,AFGHANISTAN,1997,Low income,4846.0,,18.2,6.5,53.2,44.9,Converted estimates,,"Afghanistan 1997 multiple indicator baseline (MICS). Report to UNICEF. Acapulco: Centro de Investigacion de Enfermedades Tropicales (CIET), 1998 (and additional analysis).",3567.351
1,AFG,AFGHANISTAN,2004,Low income,946.0,3.5,8.6,4.6,59.3,32.9,,"Ministry of Public Health (Afghanistan), UNICEF, CDC, National Institute for Research on Food and Nutrition (Italy), Tufts University.","Summary report of the national nutrition survey, 2004. Kabul, Islamic Republic of Afghanistan: Ministry of Public Health and UNICEF, 2005 (and additional analysis).",4551.391
2,AFG,AFGHANISTAN,2013,Low income,21922.0,4.0,9.5,5.4,40.9,25.0,(pending reanalysis),"Ministry of Public Health, UNICEF and the Aga Khan University (AKU).",Afghanistan National Nutrition Survey 2013.,4993.944
3,ALB,ALBANIA,1997,Upper middle income,7642.0,,8.1,9.5,20.4,7.1,Converted estimates,,"National study on nutrition in Albania. Institute of Public Health, Food and Nutrition Section, 1999 (and additional analysis).",307.871
4,ALB,ALBANIA,2000,Upper middle income,1385.0,6.2,12.2,30.0,39.2,17.0,,National Institute of Statistics (Albania) and UNICEF Albania.,"Multiple indicator cluster survey report Albania (MICS). Committee on Women and Family, Institute of Public Health, Faculty of Social Sciences and UNICEF (Albania). Tirana, Albania: UNICEF, 2000 (and additional analysis).",278.754
5,ALB,ALBANIA,2005,Upper middle income,1090.0,3.7,7.3,25.2,27.0,6.6,,Albanian National Institute of Statistics.,"Albania multiple indicator cluster survey 2005, final report. Tirana, Albania: Albanian National Institute of Statistics, 2008 (and additional analysis).",213.005
6,ALB,ALBANIA,2009,Upper middle income,1490.0,5.9,9.4,23.4,23.1,6.3,,"Institute of Statistics, Institute of Public Health [Albania] and ICF Macro.","Albania demographic and health survey 2008-09. Demographic and Health Surveys. Tirana, Albania: Institute of Statistics, Institute of Public Health and ICF Macro, 2010 (and additional analysis).",163.573
7,DZA,ALGERIA,1987,Upper middle income,2344.0,,4.0,,16.9,8.0,Converted estimates,Kellou K.,"Etat nutritionnel des enfants algériens de 0 à 10 ans et niveaux d'urbanisation d'après les résultats préliminaires de l'enquête épidémiologique sur la malnutrition protéino-énérgétique en 1987. Institut National de Santé Publique, Algiers; 1987.",3979.161
8,DZA,ALGERIA,1992,Upper middle income,4629.0,3.0,7.1,8.7,22.9,9.2,,République Algérienne démocratique et populaire.,"Enquête Algérienne sur la santé de la mère et de l'enfant. Office national des statistiques. PAPCHILD surveys. Cairo: Ligue des Etats Arabes, 1992 (and additional analysis).",3942.738
9,DZA,ALGERIA,1995,Upper middle income,3825.0,4.2,9.6,13.2,22.5,11.3,,Ministère de la Santé et de la Population.,"Enquête nationale sur les objectifs de la mi-decennie, ""MDG Algerie"", 1995. Alger, Algerie, 1996 (and additional analysis).",3734.288
10,DZA,ALGERIA,2000,Upper middle income,4178.0,1.1,3.1,14.7,23.6,5.4,,Minstère de la Santé et de la Population.,"Enquête nationale sur les objectives de la fin décennie santé mère et enfant EDG Algérie 2000 (MICS). Institut National de Santé Publique. République Algérienne Démocratique et Populaire, 2001 (and additional analysis).",3087.83
11,DZA,ALGERIA,2002,Upper middle income,4419.0,5.1,9.6,14.7,23.3,11.1,,"Ministère de la Santé, de la Population et de la Réforme Hospitalière et l'Office National des Statistiques.","Enquête Algérienne sur la santé de la famille-2002: Rapport principal. Alger, Algérie: Agence Nationale de la Documentation en Santé, 2004 (and additional analysis).",2884.857
12,DZA,ALGERIA,2005,Upper middle income,13976.0,1.6,4.0,12.9,15.9,3.7,,"Ministère de la Santé de la Population et de la Réforme Hospitalière, Office National des Statistiques.","Suivi de la situation des enfant et des femmes. Enquête nationale à indicateurs multiples: Rapport principal. MICS3. République Algérienne Démocratique et Populaire, Décembre 2008 (and additional analysis).",2961.563
13,DZA,ALGERIA,2012,Upper middle income,13860.0,1.4,4.1,12.4,11.7,3.0,,"Ministère de la Santé, de la Population et de la Réforme Hospitalière.","République Algérienne Démocratiqe et Populaire enquête par grappes à indicateurs mulitples (MICS) 2012-2013. Rapport final. Ministère de la Santé, de la Population et de la Réforme Hospitalière, 2015.",4305.969
14,AGO,ANGOLA,1996,Upper middle income,3016.0,3.3,8.6,1.6,61.7,37.0,,,"Inquerito de indicadores multiplos (MICS) 1996. Instituto Nacional de Estatistica - Gabinete de Monitorizaçao das Condiçoes de Vida da Populaçao. Luanda, Angola, 1999 (and additional analysis).",2666.669
15,AGO,ANGOLA,2007,Upper middle income,10224.0,4.3,8.2,,29.2,15.6,,Ministerio da Saude.,"Relatorio do inquerito sobre a nutriçao em Angola 2007. Luanda, Republica de Angola: Ministerio da Saude, Direcçao nacional de Saude Publica, 2008.",3816.015
16,ARG,ARGENTINA,1994,High income: nonOECD,5296.0,,1.6,11.1,7.1,1.7,Converted estimates,"Lejarraga H, Krupitzky S, Gimenez E, Diament N, Kelmansky A, Tibaldi F, et al.",The organisation of a national survey for evaluating child psychomotor development in Argentina. Paediatric and Perinatal Epidemiology 1997;11:359-373 (and additional analysis).,3523.037
17,ARG,ARGENTINA,1996,High income: nonOECD,91943.0,,4.2,13.5,16.9,4.7,Converted estimates,"Calvo EB, Longo EN et al.","Encuesta antropometrica en menores de 6 años bajo programa materno infantil. In: Estudios antropometricos en la poblacion infanto-juvenil. Rep. Argentina 1993-1996. Ministerio de Salud y Accion Social. Buenos Aires, 1999 (and additional analysis).",3514.125
18,ARG,ARGENTINA,2005,High income: nonOECD,999999.0,0.2,1.2,9.9,8.2,2.3,,"Durán P, Mangialavori G, Biglieri A, Kogan L, Gilardon EA.",Nutrition status in Argentinean children 6 to 72 months old. Results from the National Nutrition and Health Survey (ENNyS). Archivos Argentinos de Pediatria 2009;107:397-404 (and additional analysis).,3594.876
