ISO_country,1983,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
AFG,,,,,,,,,,,,,,6.5,,,,,,,4.6,,,,,,,,,5.4,,
AGO,,,,,,,,,,,,,1.6,,,,,,,,,,,,,,,,,,,
ALB,,,,,,,,,,,,,,9.5,,,30.0,,,,,25.2,,,,23.4,,,,,,
ARG,,,,,,,,,,,11.1,,13.5,,,,,,,,,9.9,,,,,,,,,,
ARM,,,,,,,,,,,,,,,10.8,,16.0,,,,,11.7,,,,,16.8,,,,,
AUS,,,,,,,,,,,,7.9,,,,,,,,,,,,7.7,,,,,,,,
AZE,,,,,,,,,,,,,6.1,,,,6.2,4.4,,,,,13.9,,,,,,,13.0,,
BDI,,,,1.3,,,,,,,,,,,,,1.4,,,,,,,,,,2.9,,,,,
BEN,,,,,,,,,,,,,2.4,,,,,3.0,,,,,11.4,,,,,,,,1.7,
BFA,,,,,,,,,,2.8,,,,,,1.9,,,,5.4,,,6.9,,,,2.8,,,,,
BGD,,,0.2,,,,0.6,0.3,0.2,0.4,0.2,0.2,0.3,1.7,0.2,0.6,0.9,0.9,1.0,1.0,0.9,1.0,0.8,1.1,,,,1.9,1.6,2.6,1.4,
BGR,,,,,,,,,,,,,,,,,,,,,13.6,,,,,,,,,,,
BHR,,,,,,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,
BIH,,,,,,,,,,,,,,,,,16.3,,,,,,25.6,,,,,,17.4,,,
BLR,,,,,,,,,,,,,,,,,,,,,,9.7,,,,,,,,,,
BLZ,,,,,,,,,,,,,,,,,,,,,,,13.7,,,,,7.9,,,,
BOL,,,,,,7.4,,,,,6.7,,,,10.7,,,,,9.2,,,,,8.7,,,,,,,
BRA,,,,,,,,,,,,,6.6,,,,,,,,,,,7.3,,,,,,,,
BRB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.2,,,
BRN,,,,,,,,,,,,,,,,,,,,,,,,,,8.3,,,,,,
BTN,,,,3.5,,,,,,,,,,,,3.9,,,,,,,,,4.4,,7.6,,,,,
BWA,,,,,,,,,,,,,,,,,10.4,,,,,,,11.2,,,,,,,,
CAF,,,,,,,,,,,3.7,,,,,,10.8,,,,,,8.5,,,,1.8,,,,,
CAN,,,,,,,,,,,,,,,,,,,,,10.4,,,,,,,,,,,
